FORMAT = Name, Type, Ra, Dec, I, ReferenceFrequency
rich_centre_a, POINT, 01:37:41.299, 33.09.35.132, 4.136533, 120000000.0
rich_centre_b, POINT, 01:37:48.466, 33.08.30.332, 0.699604, 120000000.0
rich_east_a, POINT, 01:39:35.974, 33.12.35.132, 3.401373, 120000000.0
rich_east_b, POINT, 01:39:46.008, 33.14.01.532, 0.487089, 120000000.0
rich_west_a, POINT, 01:35:40.890, 33.07.11.132, 3.058335, 120000000.0
rich_west_b, POINT, 01:35:30.856, 33.05.51.932, 0.429067, 120000000.0
rich_north_a, POINT, 01:37:58.500, 33.32.23.132, 2.651258, 120000000.0
rich_north_b, POINT, 01:37:50.473, 33.33.53.132, 0.379705, 120000000.0
rich_south_a, POINT, 01:37:12.630, 32.45.35.132, 2.419346, 120000000.0
rich_south_b, POINT, 01:37:03.456, 32.44.08.732, 0.323992, 120000000.0
